Transaction,Status,Txnauthid,TxnDateTime,Txntype,Txnstatus,Error_Type,Errorcode,Error_Msg,Responsecode,Response_Description
m2a benificiary deregistration search without keyword,PASS,809312246609,2018-04-03 12:04:17.0,AP3L,C,-,null,null,00,null
m2a benificiary deregistration search with keyword,PASS,809312246610,2018-04-03 12:04:18.0,AP3L,C,-,null,null,00,null
m2a benificiary deregistration search with keyword,PASS,809312246611,2018-04-03 12:04:20.0,AP3D,C,-,null,null,00,null
m2a Quick FT Random Ben Account,PASS,809312246612,2018-04-03 12:04:21.0,APQT,C,-,null,null,00,-
m2a Quick FT Exceeds Transaction Amount,FAIL,809312246613,2018-04-03 12:04:24.0,APQT,F,B,null,null,09,Maximum Amount permitted for this transaction is Rs. 5,000.00. Please enter a lesser amount
m2a QuickFT Insufficient Amount,FAIL,809312246614,2018-04-03 12:04:26.0,APQT,F,B,null,null,09,Minimum Amount permitted for this transaction is Rs. 5.00. Please enter a higher amount
m2a Ben Reg With Random Ben Account,PASS,809312246615,2018-04-03 12:04:27.0,APC2,C,-,null,null,00,null
m2a Ben Payment Exceed Transaction Amount,FAIL,809312246616,2018-04-03 12:04:28.0,APFA,F,B,null,null,09,Maximum Amount permitted for this transaction is Rs. 5,000.00. Please enter a lesser amount
m2a Ben Payment InSufficient Amount,FAIL,809312246617,2018-04-03 12:04:29.0,APFA,F,B,null,null,09,Minimum Amount permitted for this transaction is Rs. 5.00. Please enter a higher amount
m2a Ben De-register Same Ben,PASS,809312246618,2018-04-03 12:04:31.0,AP3D,C,-,null,null,00,null
NEFT benificiary registration,PASS,809312246619,2018-04-03 12:04:33.0,APQ2,C,-,null,null,00,null
NEFT benificiary registration confirm,PASS,809312246620,2018-04-03 12:04:34.0,APQ3,C,-,null,null,00,null
NEFT benificiary list,PASS,809312246621,2018-04-03 12:04:35.0,APQ7,C,-,null,null,00,null
NEFT benificiary payment,FAIL,809312246622,2018-04-03 12:04:37.0,APQ8,F,B,null,null,09,Beneficiary not activated yet. Please try after sometime
NEFT benificiary detail,PASS,809312246623,2018-04-03 12:04:38.0,APNL,C,-,null,null,00,null
NEFT benificiary de-registration list,PASS,809312246624,2018-04-03 12:04:39.0,AP4L,C,-,null,null,00,null
NEFT benificiary de-registration confirm,PASS,809312246625,2018-04-03 12:04:41.0,AP4D,C,-,null,null,00,null
NEFT Quick FT With Invalid IFSC code,FAIL,809312246626,2018-04-03 12:04:42.0,APQN,F,C,null,null,09,Please enter the valid amount to complete the transaction 
NEFT ben reg With Invalid IFSC code,FAIL,809312246627,2018-04-03 12:04:44.0,APQ2,F,B,null,null,09,Invalid IFS code
NEFT ben reg confirm With Invalid IFSC code,PASS,809312246628,2018-04-03 12:04:45.0,APQ3,C,-,null,null,00,null
NEFT ben payment With Exceeded Amount,FAIL,809312246629,2018-04-03 12:04:47.0,APQ8,F,B,null,null,09,Beneficiary IFS Code not found. Please contact Bank for further details
NEFT ben payment With Insufficient Amount,FAIL,809312246630,2018-04-03 12:04:48.0,APQ8,F,B,null,null,09,Beneficiary IFS Code not found. Please contact Bank for further details
